rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/policy_gradient_loss
-33.947625,1109,2048,1,252.375,1,,,,,,,,,,
-35.01453333333334,942,4096,2,258.2,4,10,-1.0983727207407354,0.005635778,13.47891967515461,0.0003,0.2,0.025252103805541992,0.096044921875,1.9718589782714844,-0.006700719888613094
-33.445521739130434,884,6144,3,263.9130434782609,6,20,-1.095925240777433,0.009326256,1.7069890686310827,0.0003,0.2,0.9188854694366455,0.105712890625,0.38113516569137573,-0.008220115037693177
-31.900838709677423,854,8192,4,262.48387096774195,9,30,-1.0702856240794063,0.006628664,4.507614593021572,0.0003,0.2,0.8656653165817261,0.073876953125,0.4758741855621338,-0.005272423862334108
-31.034897435897445,837,10240,5,262.05128205128204,12,40,-1.0240228274837135,0.0059105977,1.5595787265803664,0.0003,0.2,0.9380873441696167,0.08486328125,0.3904400169849396,-0.007496616702701431
-30.070304347826085,822,12288,6,261.5217391304348,14,50,-1.0130518510937692,0.007715614,3.047887090127915,0.0003,0.2,0.9169554114341736,0.079052734375,1.0024570226669312,-0.009658039506757633
-30.14211111111111,809,14336,7,260.8888888888889,17,60,-0.997516212053597,0.011787943,0.8654767422704026,0.0003,0.2,0.9588164687156677,0.1150390625,0.18097379803657532,-0.005006872167723486
-30.247129032258066,798,16384,8,260.8709677419355,20,70,-0.9598701948300004,0.011559743,2.2777262311428785,0.0003,0.2,0.9453340768814087,0.12392578125,0.4977892339229584,-0.0058734628604725
-30.360357142857147,788,18432,9,262.07142857142856,23,80,-0.9808778716251254,0.011965083,2.9904728419147433,0.0003,0.2,0.8891070485115051,0.106591796875,0.9845619201660156,-0.00693730796338059
-30.397294871794866,780,20480,10,262.3974358974359,26,90,-0.9525721963495016,0.008283156,1.47734617581591,0.0003,0.2,0.9480133056640625,0.065283203125,0.35106298327445984,-0.0031312456922023557
-29.909870588235293,773,22528,11,262.63529411764705,29,100,-0.9498301653191448,0.0074899094,1.232125368854031,0.0003,0.2,0.9516749382019043,0.11728515625,0.25802236795425415,-0.005581966911995551
-29.411688172043007,764,24576,12,263.97849462365593,32,110,-0.8993568001314998,0.007123091,1.9638723022770137,0.0003,0.2,0.9248239398002625,0.085986328125,0.0901796817779541,-0.004578871760895708
-29.329869999999996,757,26624,13,264.57,35,120,-0.8814188441261649,0.00799273,0.8259655508212745,0.0003,0.2,0.9523116946220398,0.101806640625,0.0851660668849945,-0.005429009105864679
-29.057109999999998,751,28672,14,266.11,38,130,-0.8599106341600418,0.024502974,0.4143569734878838,0.0003,0.2,0.9720897674560547,0.146728515625,0.056393835693597794,-0.00433618819079129
-28.455470000000002,742,30720,15,267.57,41,140,-0.8760928688570857,0.0066485032,2.237634975882247,0.0003,0.2,0.9055877923965454,0.079296875,0.3972429037094116,-0.008185059984680266
-27.93952,736,32768,16,268.52,44,150,-0.8751122796908021,0.009364102,1.028736110124737,0.0003,0.2,0.9643710851669312,0.0865234375,0.18262043595314026,-0.008637553457811009
