time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/n_updates
4096,143,28,248.2,1,-25.700000762939453,,,,,,,,,,
8192,147,55,248.0,2,-31.03125,5e-05,-0.006010889626728992,0.0059594074,0.09891504049301147,0.2,-1.1133878705402216,0.052490234375,6.695732593536377,12.88700859894355,15
12288,152,80,249.20833333333334,3,-31.875,5e-05,-0.005190565162532342,0.0069015916,0.6805578470230103,0.2,-1.1039499294012785,0.043798828125,3.9867336750030518,8.678893748422464,30
16384,152,107,251.828125,4,-32.7265625,5e-05,-0.005973124236334115,0.006724488,0.9186885952949524,0.2,-1.1210954830050468,0.05984700520833333,0.9502638578414917,3.949007021635771,45
20480,147,138,256.16883116883116,5,-33.30519485473633,5e-05,-0.007768037718293878,0.0062310686,0.9573310613632202,0.2,-1.1009915286054215,0.052099609375,0.25399667024612427,2.4344758822893104,60
24576,146,167,259.9347826086956,6,-33.19565200805664,5e-05,-0.003481700157863088,0.00569959,0.9633548855781555,0.2,-1.103625551611185,0.047835286458333334,0.7312638163566589,3.067413419360916,75
28672,141,202,264.92,7,-33.025001525878906,5e-05,-0.005983685852212753,0.0040072054,0.9463536143302917,0.2,-1.0784008555114268,0.03732096354166667,1.046125054359436,3.4459889346112806,90
32768,142,230,271.35,8,-33.275001525878906,5e-05,-0.006069083165978858,0.0058470005,0.9511691331863403,0.2,-1.0613768046100935,0.058854166666666666,0.9143272638320923,2.830735929807027,105
36864,140,262,278.69,9,-33.275001525878906,5e-05,-0.003007321986660827,0.005053364,0.9583866596221924,0.2,-1.048733597372969,0.02958984375,0.8020839691162109,2.161567864753306,120
40960,139,293,284.21,10,-33.78499984741211,5e-05,-0.005795867165822225,0.0073553273,0.9711281657218933,0.2,-1.0364205112059912,0.08076171875,0.8964953422546387,0.935788704889516,135
45056,137,326,289.13,11,-33.9900016784668,5e-05,-0.004913707071682438,0.0045755072,0.9469294548034668,0.2,-0.9970026489347219,0.03167317708333333,0.46212711930274963,2.8287706820915144,150
49152,136,360,295.42,12,-32.189998626708984,5e-05,-0.003591968999050247,0.0055778553,0.9666204452514648,0.2,-0.9600978098809719,0.036572265625,0.6644235253334045,1.124892728216946,165
53248,135,392,300.21,13,-32.43000030517578,5e-05,-0.005636134444406101,0.008460285,0.9487725496292114,0.2,-0.9773883367578189,0.07957356770833333,0.8588287234306335,1.3118337022761504,180
57344,134,426,303.71,14,-32.43000030517578,5e-05,-0.005423796647664858,0.0051971786,0.972530722618103,0.2,-0.9602836941679319,0.069287109375,0.19033539295196533,0.765876064573725,195
61440,134,458,307.63,15,-32.685001373291016,5e-05,-0.007551012335170526,0.008552674,0.9685748219490051,0.2,-0.920504109809796,0.09441731770833334,1.9289495944976807,0.9316274911786119,210
65536,133,491,311.91,16,-32.150001525878906,5e-05,-0.0047225725237998025,0.0050682644,0.984154999256134,0.2,-0.9351329820851485,0.033121744791666664,0.09395705163478851,0.6121421335575481,225
69632,133,521,316.53,17,-32.09000015258789,5e-05,-0.002851106425805483,0.007957099,0.9741823077201843,0.2,-0.9387768489619096,0.05792643229166667,0.08132210373878479,0.3602424245638152,240
73728,133,554,323.23,18,-30.96500015258789,5e-05,-0.004738610159256496,0.0049225427,0.9540485739707947,0.2,-0.9048633477340142,0.045914713541666666,0.39041668176651,0.7732888540873925,255
