time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl
2048,574.0,8509.333333333334,242,8,1,,,,,,,,,,
4096,584.5,8459.833333333334,215,19,2,10,0.2,0.0003,0.01826171875,25125.318359375,53419.45343017578,0.0027930736541748047,-1.0769911786541342,-0.006578054884448648,0.0059872335
6144,590.5,9535.5,206,29,3,20,0.2,0.0003,0.00185546875,37838.53125,74484.09805908203,-7.402896881103516e-05,-1.057136696577072,-0.00269129154185066,0.0017179693
8192,589.9230769230769,10110.0,204,40,4,30,0.2,0.0003,0.004443359375,44853.0625,92467.17189941407,-4.1604042053222656e-05,-1.0667229088023304,-0.0037299316129065117,0.003754585
10240,598.1176470588235,10116.70588235294,202,50,5,40,0.2,0.0003,0.002294921875,68686.0859375,124111.53479003906,-1.0728836059570312e-06,-1.0550879430025817,-0.003182985760940937,0.004072069
12288,597.35,10105.1,201,61,6,50,0.2,0.0003,0.01962890625,32916.87890625,65626.57531738281,2.980232238769531e-07,-1.0876055374741553,-0.005158092407509684,0.005426713
14336,592.5833333333334,9786.916666666666,200,71,7,60,0.2,0.0003,0.024609375,39555.515625,74448.777734375,4.172325134277344e-07,-1.0759511442855,-0.005380109533143695,0.0066741845
16384,588.7037037037037,9668.888888888889,199,82,8,70,0.2,0.0003,0.030322265625,27816.42578125,55366.26290283203,-3.5762786865234375e-07,-1.0803707471117376,-0.0068005540553713216,0.005323221
18432,590.4516129032259,9620.387096774193,198,92,9,80,0.2,0.0003,0.00966796875,30536.916015625,59605.98448486328,4.172325134277344e-07,-1.0916974859312176,-0.004061031750461552,0.004191638
20480,596.8235294117648,9725.35294117647,197,103,10,90,0.2,0.0003,0.03974609375,28463.25,65671.36204833984,0.0,-1.0913369398564101,-0.005452633513777982,0.005181427
22528,592.3421052631579,9652.605263157895,196,114,11,100,0.2,0.0003,0.05166015625,32852.71875,67532.71046142578,-3.5762786865234375e-07,-1.1018698735162615,-0.0063843890820862725,0.006293818
24576,588.4878048780488,9595.536585365853,195,125,12,110,0.2,0.0003,0.013916015625,37298.52734375,74751.40867919922,1.7881393432617188e-07,-1.0483851850032806,-0.004207028001837898,0.0032532376
26624,588.4888888888889,9633.866666666667,194,136,13,120,0.2,0.0003,0.04775390625,36077.171875,68705.6948852539,0.0,-1.0552948424592614,-0.007902838486188557,0.0061475583
28672,588.75,9645.208333333334,194,147,14,130,0.2,0.0003,0.04970703125,30944.015625,70696.18842773438,1.1920928955078125e-07,-1.061019473336637,-0.008138000046892557,0.0058171363
30720,586.4038461538462,9673.557692307691,194,158,15,140,0.2,0.0003,0.019873046875,32782.90625,70062.15076904297,0.0,-1.0586453691124915,-0.00516599933616817,0.003933752
32768,585.1428571428571,9742.30357142857,194,168,16,150,0.2,0.0003,0.010498046875,41516.15234375,80051.00187988281,0.0,-1.0222902793437243,-0.003949033760727616,0.0044790907
34816,583.0338983050848,9704.57627118644,193,179,17,160,0.2,0.0003,0.01396484375,47370.85546875,93960.29350585937,0.0,-1.0353311136364938,-0.004701245340402238,0.0046039615
36864,582.3968253968254,9729.412698412698,193,190,18,170,0.2,0.0003,0.005517578125,30958.533203125,63407.22435302734,0.0,-1.0625115249305963,-0.005588639633788262,0.004210513
