time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
10,658.3333333333334,-23625.666666666668,2048,195,1,,,,,,,,,,
22,604.3333333333334,-19843.666666666668,4096,178,2,273045.96875,0.00478515625,-1.1002708131447434,10,-0.0001913309097290039,-0.0041519523889292035,0.0032255892,0.0003,0.2,460980.6251953125
33,586.7,-18833.6,6144,183,3,155964.53125,0.003662109375,-1.0741411913186312,20,1.2278556823730469e-05,-0.003043395724671427,0.0047262986,0.0003,0.2,301211.5811523438
43,587.3076923076923,-19151.384615384617,8192,187,4,193776.375,0.006396484375,-1.0721144787967205,30,7.033348083496094e-06,-0.002931131311925128,0.002774468,0.0003,0.2,345559.5529296875
49,592.6470588235294,-19690.647058823528,10240,206,5,252846.90625,0.0,-1.035233348608017,40,-3.337860107421875e-06,-0.003358120635675732,0.0024490934,0.0003,0.2,465732.41640625
56,597.9,-20034.3,12288,217,6,229813.515625,0.0,-1.0512043433263898,50,7.748603820800781e-07,-0.0028428384524886497,0.0027903533,0.0003,0.2,431004.82421875
63,603.3478260869565,-20533.478260869564,14336,224,7,207497.4375,0.006884765625,-1.0827013848349452,60,-4.76837158203125e-07,-0.003302277698821854,0.0044120373,0.0003,0.2,427629.9432617187
70,607.9615384615385,-21179.346153846152,16384,233,8,295971.09375,0.0,-1.0646436212584376,70,5.960464477539063e-08,-0.0014520177035592496,0.0007624052,0.0003,0.2,518323.43515625
79,615.2413793103449,-22014.51724137931,18432,231,9,307035.1875,0.0,-1.0615962097421288,80,0.0,-0.0022275739611359313,0.002649595,0.0003,0.2,611540.6190429687
87,619.5454545454545,-22567.060606060608,20480,234,10,263403.1875,0.0,-1.0665575420483946,90,0.0,-0.0011608658081968316,0.0008418509,0.0003,0.2,652903.01875
96,623.2777777777778,-22917.166666666668,22528,233,11,263087.5625,0.0,-1.0579449212178589,100,0.0,-0.0014794470196648035,0.000901342,0.0003,0.2,609840.9484375
104,627.2564102564103,-23346.23076923077,24576,234,12,234117.59375,0.0,-1.072309941984713,110,0.0,-0.0014905464413459413,0.0009261939,0.0003,0.2,576296.4595703125
114,630.1428571428571,-23486.761904761905,26624,231,13,324667.40625,0.0044921875,-1.0795845698565245,120,0.0,-0.0035280965956189904,0.0039238473,0.0003,0.2,626733.637890625
123,628.3333333333334,-23266.044444444444,28672,232,14,268051.96875,0.012890625,-1.0800434708595277,130,1.1920928955078125e-07,-0.005271539464592934,0.005571858,0.0003,0.2,513905.3641601562
131,624.5918367346939,-22867.244897959183,30720,232,15,200112.03125,0.0,-1.0913486436009407,140,0.0,-0.0010354564932640643,0.00047385215,0.0003,0.2,380802.0505859375
139,622.9615384615385,-22702.46153846154,32768,235,16,193173.25,0.007470703125,-1.07874421402812,150,1.1920928955078125e-07,-0.00396025062946137,0.002226137,0.0003,0.2,365680.5537109375
147,615.9285714285714,-22109.839285714286,34816,236,17,188713.328125,0.013232421875,-1.0689362658187747,160,-1.1920928955078125e-07,-0.005125884518201928,0.003803287,0.0003,0.2,373853.26103515626
154,616.1694915254237,-22009.898305084746,36864,238,18,133626.78125,0.002490234375,-1.060082964785397,170,0.0,-0.003131054515688447,0.0037153768,0.0003,0.2,257999.67651367188
162,610.0952380952381,-21432.4126984127,38912,240,19,197859.5625,0.00712890625,-1.0661366192623973,180,5.960464477539063e-08,-0.003408876687171869,0.003524826,0.0003,0.2,370367.3438476563
169,606.4179104477612,-21034.850746268658,40960,241,20,107273.0,0.02001953125,-1.047179981134832,190,0.0,-0.006108020016108639,0.00607688,0.0003,0.2,202180.3255859375
177,602.5211267605633,-20636.11267605634,43008,242,21,121981.5546875,0.001513671875,-1.0496749175712465,200,1.1920928955078125e-07,-0.0027257643727352844,0.0037055456,0.0003,0.2,239540.6723144531
185,600.7432432432432,-20422.972972972973,45056,243,22,117782.296875,0.0,-1.0305981988087296,210,0.0,-0.0015811813485925087,0.001079463,0.0003,0.2,236592.9509765625
197,598.0769230769231,-20136.51282051282,47104,238,23,154087.734375,0.00048828125,-1.0203461278229953,220,0.0,-0.0025484991158009505,0.002973793,0.0003,0.2,305059.4953613281
208,594.0853658536586,-19735.51219512195,49152,235,24,105069.4609375,0.046484375,-1.0337952187284827,230,0.0,-0.007479993881133851,0.0072033135,0.0003,0.2,196344.16137695312
217,591.6976744186046,-19455.488372093023,51200,235,25,81643.765625,0.02919921875,-1.0247188707813621,240,0.0,-0.005668333955691196,0.0058022914,0.0003,0.2,181528.1852783203
224,586.6777777777778,-19012.244444444445,53248,236,26,123510.1953125,0.009033203125,-0.9904607316479087,250,-1.1920928955078125e-07,-0.003450307815364795,0.0026956005,0.0003,0.2,202276.33686523436
235,583.8723404255319,-18703.031914893618,55296,234,27,61597.55859375,0.01103515625,-0.9697136228904129,260,0.0,-0.004103577708883676,0.0039478093,0.0003,0.2,143248.12380371094
246,578.89898989899,-18240.989898989897,57344,232,28,69928.46875,0.0123046875,-0.9640591969713569,270,-1.1920928955078125e-07,-0.004238047116086818,0.004647546,0.0003,0.2,157920.409375
254,573.03,-17731.4,59392,233,29,78472.0,0.006005859375,-0.9268758658319711,280,5.960464477539063e-08,-0.0023159448290243747,0.004565658,0.0003,0.2,128786.0185546875
267,571.12,-17523.48,61440,229,30,59862.78515625,0.031787109375,-0.9288750370964408,290,0.0,-0.004888193981605582,0.005568982,0.0003,0.2,118134.42834472656
279,567.23,-17099.13,63488,227,31,67458.796875,0.00625,-0.9295807922258973,300,0.0,-0.002506580887711607,0.0025053504,0.0003,0.2,141972.82719726564
290,562.35,-16655.25,65536,225,32,72349.171875,0.02392578125,-0.9161467062309384,310,0.0,-0.003909029849455692,0.004855415,0.0003,0.2,132036.5570800781
321,556.07,-16049.24,67584,210,33,50933.328125,0.027099609375,-0.9207437144592404,320,0.0,-0.005144889515941031,0.00628083,0.0003,0.2,100389.96162109375
340,549.3,-15400.58,69632,204,34,50863.5234375,0.031982421875,-0.8848120171576739,330,0.0,-0.005836228677071631,0.0051720818,0.0003,0.2,123204.378125
350,542.31,-14664.17,71680,204,35,49728.13671875,0.00830078125,-0.8779490696266293,340,1.1920928955078125e-07,-0.003519344398227986,0.0033882153,0.0003,0.2,94681.43845214843
360,531.77,-13693.45,73728,204,36,51449.44921875,0.016259765625,-0.8775373704731464,350,-1.1920928955078125e-07,-0.004009511682670564,0.003893665,0.0003,0.2,103988.58889160157
372,523.17,-12872.11,75776,203,37,39208.24609375,0.02578125,-0.8529434766620397,360,0.0,-0.005330617228173651,0.005582639,0.0003,0.2,91337.12836914063
381,513.48,-11996.76,77824,204,38,31715.3046875,0.01650390625,-0.8611606486141682,370,0.0,-0.00394716688679182,0.0029847645,0.0003,0.2,77066.54426269532
389,507.94,-11511.51,79872,205,39,56881.015625,0.008251953125,-0.8285333089530468,380,1.1920928955078125e-07,-0.002902316268591676,0.0048760264,0.0003,0.2,105811.1826171875
398,500.93,-10921.32,81920,205,40,39299.76171875,0.009716796875,-0.8367218447849154,390,-1.1920928955078125e-07,-0.003148562469868921,0.002965241,0.0003,0.2,77522.81796875
409,499.2,-10684.51,83968,205,41,47920.265625,0.015625,-0.8375973762944341,400,5.960464477539063e-08,-0.0044391257586539725,0.0054838555,0.0003,0.2,87032.46711425782
421,494.81,-10272.51,86016,203,42,53089.6328125,0.004345703125,-0.859695408679545,410,1.1920928955078125e-07,-0.003174906686763279,0.002779684,0.0003,0.2,106747.38471679688
433,493.02,-10088.8,88064,203,43,50470.1015625,0.00576171875,-0.8434843530878424,420,0.0,-0.0035672524667461404,0.0032377278,0.0003,0.2,90900.93868408204
442,491.04,-9862.29,90112,203,44,50111.71484375,0.015185546875,-0.8403878185898066,430,0.0,-0.005217813837225549,0.004221713,0.0003,0.2,89619.18088378906
452,486.29,-9488.52,92160,203,45,53327.25,0.007373046875,-0.8598155150189996,440,0.0,-0.002663526265678229,0.0030305493,0.0003,0.2,97341.5901123047
461,482.06,-9189.45,94208,204,46,33886.84375,0.012109375,-0.86066983807832,450,0.0,-0.005616318386455532,0.0035640826,0.0003,0.2,74230.73764648437
471,479.77,-8974.39,96256,204,47,48245.16796875,0.025732421875,-0.8991584952920675,460,0.0,-0.004319803106773179,0.0051222006,0.0003,0.2,81681.10733642578
480,476.94,-8749.03,98304,204,48,51636.859375,0.04482421875,-0.8494182355701924,470,0.0,-0.0077422090180334635,0.006332563,0.0003,0.2,90613.57849121094
491,474.19,-8572.44,100352,204,49,39591.734375,0.03818359375,-0.8553937587887048,480,0.0,-0.004609226642060094,0.005142994,0.0003,0.2,66931.7835571289
501,471.59,-8414.76,102400,204,50,48831.2734375,0.0234375,-0.852133853174746,490,2.384185791015625e-07,-0.00529791229928378,0.003746516,0.0003,0.2,79119.38648681641
511,471.36,-8377.9,104448,204,51,43379.6015625,0.030712890625,-0.8412486201152205,500,5.960464477539063e-08,-0.004327762485627318,0.0046420745,0.0003,0.2,83178.29926757813
521,470.42,-8305.21,106496,204,52,50954.515625,0.019384765625,-0.832117954082787,510,0.0,-0.005563268373953179,0.0053248117,0.0003,0.2,106968.78371582032
530,470.08,-8238.42,108544,204,53,34971.703125,0.002490234375,-0.8233582317829132,520,0.0,-0.00204944004653953,0.0023170887,0.0003,0.2,69316.60620117188
539,468.61,-8131.69,110592,204,54,37542.20703125,0.001123046875,-0.8060679048299789,530,1.1920928955078125e-07,-0.0018392113503068685,0.0016847872,0.0003,0.2,89064.24763183594
549,467.39,-8051.86,112640,204,55,47272.44921875,0.01171875,-0.785640912130475,540,1.1920928955078125e-07,-0.0038634267053566872,0.0027337377,0.0003,0.2,78593.25158691406
