time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/explained_variance
1,248.625,2048,1,-31.187624999999997,1100,,,,,,,,,,
4,253.75,4096,2,-27.91025,935,2.409613847732544,0.0003,0.2,-1.1139354195445776,-0.00988052602915559,0.007035419,15.982320713996888,0.090771484375,10,0.0147172212600708
6,256.0869565217391,6144,3,-30.40552173913044,879,0.9555246829986572,0.0003,0.2,-1.0779780600219966,-0.005397084438300226,0.0066012163,2.618709852267057,0.077880859375,20,0.9118454456329346
9,254.21875,8192,4,-27.84821875,852,0.5032448768615723,0.0003,0.2,-1.104692962579429,-0.01110325720947003,0.011615014,3.5645854383707047,0.1076171875,30,0.915659487247467
12,253.8,10240,5,-29.166800000000002,835,0.2947479486465454,0.0003,0.2,-1.1033950101584196,-0.0020986929928767497,0.005028175,1.0673192317597568,0.083837890625,40,0.9003797769546509
14,254.625,12288,6,-29.923000000000002,821,0.23749862611293793,0.0003,0.2,-1.1020921237766743,-0.007541859261982609,0.010069,2.583703824132681,0.10947265625,50,0.933728039264679
17,253.89285714285714,14336,7,-29.13682142857143,809,0.3383370339870453,0.0003,0.2,-1.0896842166781426,-0.005044855900632683,0.007263113,2.7625816450454295,0.072021484375,60,0.9208511114120483
20,255.484375,16384,8,-28.488234375000005,799,0.3493717908859253,0.0003,0.2,-1.0809761367738246,-0.006985935223201523,0.009423656,0.8805482141207903,0.1361328125,70,0.9697922468185425
23,256.7887323943662,18432,9,-28.43818309859156,790,0.16222983598709106,0.0003,0.2,-1.0837678080424666,-0.006518855415924918,0.010335396,1.1417611988727003,0.11357421875,80,0.9463965892791748
26,258.63291139240505,20480,10,-27.98054430379747,781,0.10238997638225555,0.0003,0.2,-1.0953905191272497,-0.006669024639268173,0.011211517,0.8574610634241253,0.142724609375,90,0.9540095329284668
29,261.0232558139535,22528,11,-28.28048837209302,774,0.1778912991285324,0.0003,0.2,-1.0780999209731816,-0.006305361612612614,0.007201624,1.4787707225419582,0.099951171875,100,0.9305161237716675
32,263.39784946236557,24576,12,-28.795946236559143,766,0.23965546488761902,0.0003,0.2,-1.090188761986792,-0.00939232475902827,0.008835765,1.8426835215650499,0.073291015625,110,0.9526044726371765
35,265.7,26624,13,-28.991799999999998,759,0.21723516285419464,0.0003,0.2,-1.0648165602236985,-0.007003832399641396,0.008508532,1.1744975958019495,0.114501953125,120,0.9606289267539978
38,268.86,28672,14,-29.195759999999996,752,0.19826844334602356,0.0003,0.2,-1.057795257307589,-0.0029643966096045914,0.006148237,1.389269821648486,0.064306640625,130,0.9476078152656555
41,271.87,30720,15,-29.12817,747,0.6037829518318176,0.0003,0.2,-1.0528754223138095,-0.007226931674813386,0.006471243,1.606549748033285,0.06904296875,140,0.959823489189148
44,275.15,32768,16,-29.07235,741,0.019606146961450577,0.0003,0.2,-1.0360722228884698,-0.009778874697803985,0.007355486,0.24164795208489523,0.14990234375,150,0.9865317344665527
47,278.46,34816,17,-28.762159999999998,736,0.6821077466011047,0.0003,0.2,-1.021029467880726,-0.004121839056460885,0.009793812,1.5077889487147331,0.072607421875,160,0.9539133310317993
50,283.5,36864,18,-29.450399999999995,730,0.0365331694483757,0.0003,0.2,-0.966601337492466,-0.003978820687916595,0.012824381,0.18293683986412362,0.151904296875,170,0.9806231260299683
53,287.47,38912,19,-29.12067,726,0.14098584651947021,0.0003,0.2,-0.9868445111438632,-0.007736076129367575,0.006594268,0.47703549230936915,0.104052734375,180,0.958074688911438
56,292.51,40960,20,-28.804809999999996,721,0.16293810307979584,0.0003,0.2,-0.9372636575251818,-0.007370463135157479,0.013766254,0.9190768965985626,0.076318359375,190,0.9615328311920166
59,296.97,43008,21,-29.300269999999998,716,0.10571570694446564,0.0003,0.2,-0.9268683155998587,-0.008180932437971933,0.012282455,0.961605413351208,0.1041015625,200,0.9569318294525146
63,301.27,45056,22,-29.78237,712,0.17422325909137726,0.0003,0.2,-0.9598373023793101,-0.006072721912642009,0.0073358947,1.1298256686190142,0.105029296875,210,0.9487751126289368
66,305.27,47104,23,-30.31487,708,0.08437216281890869,0.0003,0.2,-0.9552968429401517,-0.008728519406577106,0.010070937,0.9447382335318253,0.1333984375,220,0.9515440464019775
69,310.41,49152,24,-30.34051,704,0.23346304893493652,0.0003,0.2,-0.8898435918614268,-0.004356806567739113,0.014829977,0.6395409267628566,0.09228515625,230,0.9736881256103516
72,315.21,51200,25,-30.58341,701,0.2860565781593323,0.0003,0.2,-0.8447016792371869,-0.005615947506157681,0.010284496,0.44516360671259464,0.120849609375,240,0.9852650761604309
76,320.08,53248,26,-30.82828,697,0.09307819604873657,0.0003,0.2,-0.8171975379809737,-0.004134697722474811,0.016569009,0.27601938027655704,0.149755859375,250,0.9853388667106628
79,323.65,55296,27,-30.61685,694,0.020358320325613022,0.0003,0.2,-0.8135869393125177,-0.005558021592150908,0.012293495,0.7096055075293407,0.096142578125,260,0.9290630221366882
83,327.13,57344,28,-30.09773,690,0.1589406430721283,0.0003,0.2,-0.8102303013205528,-0.001456246896123048,0.010952994,0.49548680431908,0.0970703125,270,0.9612812399864197
86,330.56,59392,29,-30.353559999999998,687,0.10216444730758667,0.0003,0.2,-0.7406218252144754,-0.00706320637546014,0.012526038,0.33053995383670554,0.117626953125,280,0.9756828546524048
89,333.94,61440,30,-30.125840000000004,684,0.2009071409702301,0.0003,0.2,-0.6981969887390733,-0.008992754045175388,0.0077407896,0.9268585215322673,0.103466796875,290,0.9754143357276917
93,338.32,63488,31,-30.10692,681,0.046610310673713684,0.0003,0.2,-0.7205353127792478,-0.005729395290472894,0.016064651,0.7653966222074814,0.083544921875,300,0.975452184677124
96,341.31,65536,32,-30.10701,677,0.24507221579551697,0.0003,0.2,-0.722621887922287,-0.004007358473609201,0.011185606,0.8637778208823874,0.085009765625,310,0.9513480067253113
100,344.14,67584,33,-30.347239999999996,675,0.036839768290519714,0.0003,0.2,-0.6591402530670166,-0.005213182105217129,0.012339638,0.47492395660374315,0.11845703125,320,0.9597484469413757
103,347.3,69632,34,-30.140500000000003,672,0.059994176030159,0.0003,0.2,-0.7125313675962388,-0.007255351154890377,0.008611264,0.3864530170918442,0.101123046875,330,0.9848111271858215
107,349.66,71680,35,-30.178559999999994,669,0.07231268286705017,0.0003,0.2,-0.7510471604764462,-0.005636467610020191,0.026014773,0.13580109649919905,0.1625,340,0.9780129790306091
110,352.27,73728,36,-29.97067,666,0.03655916452407837,0.0003,0.2,-0.7066979419440031,-0.010042512913787504,0.012440781,0.666197201947216,0.084033203125,350,0.9265952110290527
114,354.99,75776,37,-30.296190000000003,663,0.17953988909721375,0.0003,0.2,-0.6987316504120826,-0.004812879377277568,0.0060807774,0.5303491372731515,0.061962890625,360,0.9437971115112305
117,356.35,77824,38,-30.06895,661,0.05234993249177933,0.0003,0.2,-0.642618843819946,-0.0045453277729393445,0.010992327,0.5361388838267885,0.085400390625,370,0.9741851687431335
121,357.51,79872,39,-29.055910000000004,658,0.10979805141687393,0.0003,0.2,-0.7048946855589747,-0.0017427846745704302,0.013631187,0.9931904949015007,0.07666015625,380,0.9416405558586121
125,359.22,81920,40,-28.57992,655,-0.010565564036369324,0.0003,0.2,-0.6935262911953032,-0.00726973687269492,0.014565791,0.12326633718330413,0.132470703125,390,0.9884629845619202
128,359.44,83968,41,-28.335140000000003,652,0.06259229779243469,0.0003,0.2,-0.6909910066053271,-0.009086041426780867,0.016794913,0.23556948035839015,0.132958984375,400,0.977791965007782
132,358.96,86016,42,-28.345860000000002,649,0.03995007649064064,0.0003,0.2,-0.699444173462689,-0.00462610138929449,0.016196603,0.3772006010869518,0.103076171875,410,0.9527298212051392
136,359.07,88064,43,-28.41157,646,0.1096850335597992,0.0003,0.2,-0.6882721019908786,-0.007809244666714221,0.0066212453,0.5652577481116168,0.0837890625,420,0.9624864459037781
140,359.49,90112,44,-28.941390000000002,643,0.05083823204040527,0.0003,0.2,-0.6576526670716702,-0.005588903023453895,0.0076134144,0.3969558619777672,0.073876953125,430,0.9820084571838379
143,360.51,92160,45,-29.478509999999996,641,0.1343771517276764,0.0003,0.2,-0.5971237857826054,-0.004806468659080565,0.0052230693,1.1512603487586603,0.056640625,440,0.9707440137863159
147,361.32,94208,46,-28.73422,638,0.04860522598028183,0.0003,0.2,-0.5467422481626272,-0.0037239746772684155,0.0067124343,0.8536717369395774,0.09287109375,450,0.9685506224632263
151,361.9,96256,47,-28.497400000000003,636,0.028263449668884277,0.0003,0.2,-0.5610748025588691,-0.0050627896758669525,0.013806658,0.07225772578676697,0.133251953125,460,0.9900442957878113
155,362.48,98304,48,-28.795879999999997,633,0.30877554416656494,0.0003,0.2,-0.5887032703496515,-0.003587717673417501,0.008304441,1.3889976056991145,0.07666015625,470,0.9689444303512573
159,362.36,100352,49,-29.320759999999996,631,0.6311638951301575,0.0003,0.2,-0.6224089493975044,-0.007101695544406539,0.007910734,1.8353212405228987,0.056884765625,480,0.9347637295722961
162,362.41,102400,50,-28.839909999999996,629,1.1166149377822876,0.0003,0.2,-0.6528805630281568,-0.004385942986846203,0.004871524,1.2972068501170724,0.03837890625,490,0.9773247838020325
166,361.75,104448,51,-29.113049999999998,626,0.02588997408747673,0.0003,0.2,-0.6771614741533994,-0.005086214571201708,0.018114965,0.1972583067137748,0.159912109375,500,0.9663570523262024
170,360.99,106496,52,-29.621390000000005,624,0.03509129583835602,0.0003,0.2,-0.6899839585646987,-0.0013202579983044415,0.00560112,0.709748625732027,0.060009765625,510,0.9422622919082642
174,360.08,108544,53,-30.121980000000004,621,0.07608763873577118,0.0003,0.2,-0.6455700333230198,-0.002064245029760059,0.007057622,0.6111498286947608,0.077783203125,520,0.9552027583122253
178,359.66,110592,54,-30.14716,619,0.372667133808136,0.0003,0.2,-0.6215910027734936,-0.004131580700050108,0.006716697,0.8293168697622605,0.052734375,530,0.9670382142066956
182,358.41,112640,55,-30.39121,616,0.04779481142759323,0.0003,0.2,-0.6360590210184455,-0.007149139934335835,0.008989774,0.4804374476429075,0.087939453125,540,0.9729974269866943
186,358.29,114688,56,-30.669289999999997,614,0.057402826845645905,0.0003,0.2,-0.6240803987719119,-0.008480901940129116,0.012069525,0.4792444987222552,0.0921875,550,0.9492478370666504
190,357.87,116736,57,-30.890569999999993,611,0.05366275832056999,0.0003,0.2,-0.6367233597673476,-0.0058805981741898,0.01109416,0.5416258350363933,0.08818359375,560,0.9852517247200012
194,358.64,118784,58,-31.151239999999998,609,0.13965748250484467,0.0003,0.2,-0.6498376274481416,-0.004319525142636849,0.013323499,0.8501660835114307,0.08505859375,570,0.956243634223938
199,358.57,120832,59,-31.39877,606,0.068026602268219,0.0003,0.2,-0.6313569065183401,-0.002082664702902548,0.010037018,0.49450742355547844,0.084912109375,580,0.9833723306655884
203,359.36,122880,60,-31.394560000000002,605,0.07582393288612366,0.0003,0.2,-0.6195078852586449,-0.007203682992985705,0.011668557,0.4856041638064198,0.083447265625,590,0.9627319574356079
207,359.82,124928,61,-30.853819999999995,602,0.04672309756278992,0.0003,0.2,-0.5800387633033097,-0.0011053949710913002,0.012141985,0.3805522170616314,0.11826171875,600,0.9757493138313293
211,360.38,126976,62,-30.78288,601,0.054182421416044235,0.0003,0.2,-0.6045609264634549,-0.00660733669756155,0.007690423,0.4444309613783844,0.082080078125,610,0.9842109084129333
215,360.61,129024,63,-30.781909999999996,598,0.05890646576881409,0.0003,0.2,-0.5932662274688483,-0.008571688550000544,0.0097672725,2.2487549732322805,0.089599609375,620,0.8294405937194824
219,360.76,131072,64,-31.037659999999995,596,0.21716411411762238,0.0003,0.2,-0.6055770080536604,-0.005642670766974334,0.004659947,0.9938593972939997,0.054833984375,630,0.965247631072998
223,359.73,133120,65,-31.034029999999998,594,0.19651320576667786,0.0003,0.2,-0.6646350152790547,-0.007546732015907764,0.013418908,0.587966586148832,0.131494140625,640,0.972620964050293
228,358.76,135168,66,-30.28606,592,0.09674310684204102,0.0003,0.2,-0.6646407650783658,-0.010084814944275423,0.011369672,0.5309928441187367,0.10888671875,650,0.9620010852813721
232,357.76,137216,67,-30.78686,589,0.0598914809525013,0.0003,0.2,-0.7080116675235331,-0.0037927102726825978,0.024748212,0.374447758984752,0.14599609375,660,0.9700902700424194
236,356.58,139264,68,-30.223079999999996,587,0.041753850877285004,0.0003,0.2,-0.762716113589704,-0.004991836657427484,0.018127177,0.5339481775648892,0.12705078125,670,0.961564302444458
241,355.39,141312,69,-30.714889999999997,585,-0.014146815985441208,0.0003,0.2,-0.7757858080789447,-0.0038471355535875775,0.0118247885,0.24264431943884118,0.102978515625,680,0.9775675535202026
246,354.51,143360,70,-29.39961,582,0.11703962832689285,0.0003,0.2,-0.7919928090646863,-0.008412929894257104,0.012164172,0.6169332455960103,0.102734375,690,0.9666640162467957
250,353.86,145408,71,-28.59635999999999,580,0.010359760373830795,0.0003,0.2,-0.7545804481953382,-0.0069373533260659315,0.01679044,0.12242083103046753,0.174462890625,700,0.9781617522239685
254,353.39,147456,72,-28.046189999999996,578,0.05755855143070221,0.0003,0.2,-0.7845601070672273,-0.0054761590326961596,0.010689149,0.2696479928679764,0.098779296875,710,0.9801327586174011
259,351.99,149504,73,-27.99939,576,-0.0018887277692556381,0.0003,0.2,-0.7556963542476296,-0.009161901207698974,0.028023347,0.09689889386063441,0.140576171875,720,0.9826507568359375
264,349.54,151552,74,-28.216939999999994,573,0.232860267162323,0.0003,0.2,-0.8317822640761733,-0.00557823202907457,0.009499574,0.6084075349383056,0.10322265625,730,0.9009572267532349
268,346.59,153600,75,-27.631890000000002,571,0.0029137060046195984,0.0003,0.2,-0.8243572022765875,-0.007730784024170134,0.007766733,0.5244847369147465,0.107568359375,740,0.9305866360664368
273,343.36,155648,76,-27.06106,568,0.022087356075644493,0.0003,0.2,-0.8169367533177138,-0.008770931552135153,0.014203657,0.11386485661496408,0.1287109375,750,0.9882482290267944
278,339.11,157696,77,-26.750310000000002,565,0.09593144059181213,0.0003,0.2,-0.7475387588143348,-0.002962162927724421,0.006724446,0.5734875988448038,0.06474609375,760,0.8974481821060181
283,335.02,159744,78,-26.21182,563,0.15374693274497986,0.0003,0.2,-0.7589731588959694,-0.004003091173944995,0.0063179964,0.5751821861718781,0.048095703125,770,0.9375928640365601
288,332.19,161792,79,-26.455690000000004,561,-0.019296161830425262,0.0003,0.2,-0.7705190389417111,-0.008063297033368144,0.010498825,0.08514760401158128,0.107861328125,780,0.9896154999732971
293,329.19,163840,80,-26.119089999999996,558,0.2153225988149643,0.0003,0.2,-0.7044935476034879,-0.003882467868788808,0.0044586724,0.6793422232149169,0.047265625,790,0.9627119302749634
297,328.26,165888,81,-25.753860000000003,556,0.03905727341771126,0.0003,0.2,-0.7053320434875786,-0.008580685767810792,0.009233085,0.3068440852337517,0.07333984375,800,0.9837080240249634
302,327.42,167936,82,-25.635720000000003,554,0.02375156432390213,0.0003,0.2,-0.6309960843063891,-0.00786953616698156,0.01003373,0.1033929707162315,0.098974609375,810,0.9923574924468994
307,326.87,169984,83,-25.07467,552,0.12206900119781494,0.0003,0.2,-0.6309320564381778,-0.005443029192974791,0.0047241366,1.1863097087596544,0.062841796875,820,0.9188866019248962
312,326.45,172032,84,-25.039050000000003,550,0.017216086387634277,0.0003,0.2,-0.6477524285204709,-0.005315982076717773,0.0072941813,0.2782115856185555,0.06416015625,830,0.9835904836654663
317,326.05,174080,85,-24.496650000000002,548,0.12067566812038422,0.0003,0.2,-0.6821106486953795,-0.004755281481629936,0.0108193895,0.22928604654734955,0.091015625,840,0.9760183691978455
322,325.84,176128,86,-24.699740000000002,546,-0.024036653339862823,0.0003,0.2,-0.6955772340297699,-0.002431819181947503,0.020116478,0.07077115383872297,0.141064453125,850,0.9862111806869507
326,325.86,178176,87,-24.62006,545,0.06431924551725388,0.0003,0.2,-0.6482432087883353,-0.0056926231747638665,0.012129258,0.11381563977338374,0.095556640625,860,0.9904788136482239
331,326.01,180224,88,-24.53581,543,0.07875312119722366,0.0003,0.2,-0.6425083858892322,-0.003552911589940777,0.0077885613,0.34386233902769164,0.074267578125,870,0.9549920558929443
337,326.87,182272,89,-23.63827,540,0.0019670184701681137,0.0003,0.2,-0.6770898079499602,-0.004463062209833879,0.018616535,0.05111452622222714,0.134326171875,880,0.9913729429244995
342,328.52,184320,90,-23.340320000000002,538,-0.0077486224472522736,0.0003,0.2,-0.6731354164890945,-0.007034680918150116,0.013583712,0.19778189248172567,0.09384765625,890,0.957346498966217
347,329.96,186368,91,-23.295759999999994,536,-0.0024471934884786606,0.0003,0.2,-0.6060074255801737,-0.006642035277036484,0.013089507,0.03972747334628366,0.105322265625,900,0.9970870018005371
352,331.81,188416,92,-22.949109999999997,534,0.013026885688304901,0.0003,0.2,-0.6908821827732027,-0.007159799971850589,0.015473808,0.044693659926997496,0.143310546875,910,0.9953535199165344
357,333.71,190464,93,-22.37931,533,-0.03237106651067734,0.0003,0.2,-0.6543004265986383,-0.0047357252573419824,0.0141340755,0.038179157284321266,0.101025390625,920,0.9932079911231995
362,336.59,192512,94,-22.32839,531,-0.00854426994919777,0.0003,0.2,-0.6506700048223137,-0.00831839857637533,0.019688806,0.03648906475864351,0.155029296875,930,0.9969274997711182
367,339.49,194560,95,-21.70249,529,-0.009028179571032524,0.0003,0.2,-0.6424874311313034,-0.008111949023441412,0.016511915,0.025906471385678743,0.149853515625,940,0.9976907968521118
372,340.31,196608,96,-21.647909999999996,527,1.1440366506576538e-05,0.0003,0.2,-0.6960748875513673,-0.007991180954559241,0.015978333,0.024111237896431704,0.136376953125,950,0.9977487921714783
377,341.0,198656,97,-20.8438,525,0.009564138948917389,0.0003,0.2,-0.6792245521210134,-0.008068718546564924,0.016729364,0.03388621599879116,0.11357421875,960,0.996304452419281
383,341.69,200704,98,-20.85509,523,0.0030645839869976044,0.0003,0.2,-0.6323072277009487,-0.007657089618442114,0.009947948,0.04527514496585354,0.0958984375,970,0.997132420539856
387,342.36,202752,99,-20.33016,522,-0.03427484631538391,0.0003,0.2,-0.6666111080907285,-0.006905180186731741,0.009701723,0.03727013414609246,0.09169921875,980,0.9949047565460205
393,344.09,204800,100,-19.75889,520,-0.020093772560358047,0.0003,0.2,-0.6876871437765658,-0.009328998457203853,0.011099955,0.03369931651395745,0.097607421875,990,0.9969397783279419
398,345.56,206848,101,-19.72386,518,-0.02744857221841812,0.0003,0.2,-0.6918771489523351,-0.009534774754138197,0.0111948,0.028725557697180194,0.1134765625,1000,0.997511625289917
403,347.15,208896,102,-19.65805,517,0.0002255309373140335,0.0003,0.2,-0.6429724068380892,-0.00858777663888759,0.010697696,0.04026101362105692,0.10048828125,1010,0.9977756142616272
408,349.1,210944,103,-19.3917,515,0.0007892288267612457,0.0003,0.2,-0.6071034519933164,-0.008992232226592022,0.011480762,0.037501301246811634,0.10986328125,1020,0.9965722560882568
414,350.35,212992,104,-19.12735,514,-0.004288580268621445,0.0003,0.2,-0.6794208497740328,-0.008723782200104325,0.013932383,0.029031419329112396,0.11708984375,1030,0.9984205961227417
419,351.71,215040,105,-19.116909999999997,512,-0.010360412299633026,0.0003,0.2,-0.6191390760242939,-0.008361286661966005,0.008824091,0.028726215992355718,0.10283203125,1040,0.9981024861335754
424,353.31,217088,106,-19.67841,511,-0.010968144051730633,0.0003,0.2,-0.595806045550853,-0.006935088128375355,0.014287593,0.021665012989251407,0.13427734375,1050,0.9980698823928833
430,354.43,219136,107,-19.99483,509,0.023450521752238274,0.0003,0.2,-0.6366768601350487,-0.002309797308407724,0.005935728,0.5518590159917949,0.039306640625,1060,0.9118687510490417
