#{"t_start": 1744830877.801953, "env_id": "None"}
r,l,t
-21.739,240,5.020148
-48.74,241,5.027077
-22.752,253,5.673734
-48.262,263,6.344756
-22.227001,228,10.82209
-48.754,255,11.573891
-21.753,254,12.191847
-47.753002,254,12.73438
-48.249,250,16.891006
-20.245,246,17.440712
-22.258,259,17.508359
-21.747,248,18.000707
-47.757,258,22.251488
-23.234001,235,22.7062
-48.241,242,23.164841
-23.256,257,23.411221
-48.254,255,30.17586
-22.244,245,30.252612
-21.244,245,30.56606
-48.269,270,31.143483
-47.732,233,35.53004
-22.748001,249,36.027763
-22.753,254,36.505241
-23.241001,242,36.939448
-47.75,251,43.23263
-48.739,240,43.383229
-22.762001,263,44.060978
-22.771,272,44.625205
-21.757,258,50.516242
-23.26,261,50.991802
-48.269,270,51.701997
-22.261,262,54.322623
-48.761,262,59.625246
-48.269,270,59.698215
-23.264,265,60.645636
-47.75,251,60.91828
-23.239,240,65.705203
-22.252,253,66.089147
-48.251,252,66.808127
-21.768,269,67.760977
-23.256,257,70.898056
-22.757,258,71.45105
-48.254,255,72.279583
-48.255,256,73.02877
-23.264,265,77.324039
-48.26,261,77.740371
-23.252,253,78.277056
-22.755001,256,80.371421
-22.766,267,86.194156
-22.287,288,86.810908
-23.258,259,87.551796
-48.766,267,88.194271
-48.769,270,93.273129
-22.76,261,93.830865
-48.761,262,94.483506
-22.268,269,95.197382
-47.788,289,102.038109
-47.78,281,102.704374
-22.766,267,103.628727
-22.787,288,104.712069
-22.274,275,110.72815
-47.772,273,111.673169
-21.288,289,111.841551
-21.778,279,112.392541
-48.786,287,118.288229
-22.774,275,118.844107
-23.288,289,119.585315
-48.286,287,119.936535
-47.278,279,125.698411
-22.788,289,125.698471
-22.774,275,126.08455
-48.767,268,126.779737
-23.756,257,132.157495
-22.78,281,132.868093
-21.276,277,133.640399
-48.265,266,134.219084
-22.766,267,142.405484
-23.751,252,143.189302
-47.781,282,143.972137
-22.263,264,144.47354
-23.276,277,151.184248
-23.291,292,152.096179
-22.288,289,152.802525
-22.773,274,153.46021
-22.279,280,160.117666
-23.261,262,160.862966
-21.756,257,161.531572
-22.774,275,162.370281
-22.267,268,168.508698
-21.293,294,169.171736
-48.293,294,169.99959
-47.795,296,170.912486
-47.768,269,179.051894
-48.773,274,180.028011
-22.803,304,180.116243
-48.782,283,180.908946
-48.271,272,186.113977
-22.755001,256,187.662111
-22.291,292,188.635196
-22.795,296,189.685512
-19.789,290,194.245313
-47.278,279,195.34814
-23.272,273,196.090157
-48.284,285,197.576902
-21.275,276,203.926058
-22.294,295,204.095002
-22.76,261,205.112095
-23.787,288,206.290805
-22.778,279,210.616859
-23.284,285,211.707426
-48.299,300,211.735313
-22.772,273,212.723272
-23.273,274,217.353789
-23.276,277,219.016834
-48.777,278,219.016924
-48.794,295,221.086937
-47.789,290,225.016687
-21.764,265,225.185253
-22.779,280,226.254432
-48.785,286,228.447446
-20.791,292,232.931987
-21.292,293,233.161886
-47.782,283,233.574493
-48.803,304,236.880236
-23.276,277,240.538596
-48.783,284,241.399861
-22.781,282,241.585131
-22.303,304,245.689663
-23.276,277,249.669806
-23.294,295,250.392179
-48.784,285,250.581212
-48.291,292,254.283631
-23.27,271,257.761033
-48.771,272,258.86372
-23.275,276,258.897592
-22.288,289,263.732461
-48.274,275,266.276947
-48.784,285,266.971091
-22.803999,305,267.581034
-48.27,271,271.127995
-22.274,275,275.146405
-23.292,293,275.1934
-22.282999,284,275.193482
-22.792,293,278.229341
-21.779,280,282.080871
-23.78,281,282.080937
-22.785,286,282.5078
-23.303,304,285.994169
-23.268,269,289.806486
-48.277,278,290.560378
-23.279,280,291.173804
-22.775,276,294.63409
-48.773,274,297.292394
-48.769,270,297.848679
-48.291,292,299.149959
-23.3,301,304.358283
-48.789,290,306.650433
-48.797,298,306.87541
-47.811,312,309.480003
-21.789,290,315.208101
-23.769001,270,316.787434
-48.287,288,317.575988
-48.769,270,319.100407
-23.282,283,326.605056
-22.778,279,328.034571
-48.774,275,329.017836
-21.269001,270,330.520395
-23.264,265,336.058668
-48.262,263,337.794053
-48.781,282,337.913546
-22.78,281,339.931906
-23.286,287,345.28801
-48.264,265,346.88302
-48.78,281,347.87574
-21.773,274,349.372602
-22.777,278,355.030558
-48.296,297,356.96033
-22.281,282,357.168224
-23.276,277,358.558545
-22.295,296,365.677438
-48.789,290,367.104232
-48.299,300,367.642899
-22.806,307,369.47011
-22.773,274,374.170692
-23.789,290,376.032499
-23.305,306,376.34179
-23.296,297,377.519671
-22.792,293,380.912177
-23.793,294,383.021802
-23.8,301,383.939907
-23.276,277,384.719407
-23.296,297,390.935582
-22.776,277,393.367554
-48.796,297,394.770559
-48.789,290,395.385533
-22.777,278,400.300085
-23.291,292,403.008395
-47.774,275,404.507338
-23.781,282,405.239259
-23.282,283,410.902752
-22.781,282,413.11008
-22.264,265,414.163964
-48.292,293,414.895755
-23.767,268,418.678739
-23.782999,284,422.444203
-22.275,276,423.361561
-22.807999,309,424.44535
-21.77,271,430.45429
-48.791,292,434.884245
-48.781,282,435.376396
-48.803,304,436.417502
-22.82,321,442.111169
-23.269001,270,445.019729
-23.31,311,446.589368
-22.285,286,447.370771
-22.277,278,452.008732
-22.291,292,454.433345
-23.28,281,455.957488
-21.788,289,456.768573
-22.789,290,461.747408
-23.772,273,465.676635
-23.282,283,467.278351
-23.776,277,468.243796
-23.287,288,472.773003
-48.286,287,475.415292
-48.798,299,476.904037
-22.282999,284,477.369885
-23.296999,298,482.122046
-23.787,288,484.442805
-23.279,280,485.981653
-23.286,287,486.909705
-48.802,303,491.904629
-56.287,288,493.001031
-48.801,302,495.069298
-23.291,292,495.269812
-47.797,298,502.205109
-22.3,301,504.059709
-22.777,278,506.094006
-48.304,305,506.974367
-48.767,268,511.405869
-23.774,275,513.11451
-23.265,266,513.975185
-22.285,286,515.632762
-48.774,275,520.538989
-22.789,290,522.69556
-48.78,281,523.661895
-22.782,283,524.603508
-48.779,280,529.221564
-48.781,282,530.55407
-23.276,277,532.883007
-23.27,271,534.428122
-22.781,282,539.295298
-23.276,277,541.94019
49.694,307,543.535817
-54.274,275,544.273962
-21.767,268,549.38746
-48.784,285,552.522294
-22.771,272,553.526362
-23.279,280,554.331002
-48.77,271,558.880659
-23.273,274,561.66776
-48.793,294,563.051072
-23.272,273,563.116747
-22.778,279,567.938282
-22.763,264,572.006445
-22.771,272,573.577912
-23.786,287,574.988042
-48.773,274,578.335815
-22.264,265,581.316903
-23.26,261,583.055306
-22.259,260,584.114724
-23.268,269,588.76495
-48.798,299,591.459296
-23.269001,270,592.556169
-48.289,290,592.972375
-48.782,283,596.94518
-22.776,277,599.593623
-48.78,281,600.625902
-23.281,282,601.154173
-22.767,268,607.277732
-48.785,286,611.634881
-48.777,278,612.849523
