time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_fraction
22,1,248.9375,4096,182,-33.56044006347656,,,,,,,,,,
51,2,251.32258064516128,8192,160,-33.18581008911133,5.864471435546875,5e-05,-1.0992217857390643,14.91499745969971,15,0.2,-0.081551194190979,0.0052448236,-0.007126590236051319,0.04827473958333333
77,3,253.61702127659575,12288,158,-33.4441032409668,2.3154513835906982,5e-05,-1.1210106328129767,4.683328380063176,30,0.2,0.7749882340431213,0.005510562,-0.0055845653711003255,0.039306640625
107,4,257.4,16384,151,-33.25639724731445,1.3451424837112427,5e-05,-1.1047108684976896,3.407966345300277,45,0.2,0.90708327293396,0.0065749595,-0.007362788669221724,0.05986328125
136,5,261.7105263157895,20480,149,-33.01728439331055,1.2433782815933228,5e-05,-1.1011198187867801,2.7862119993194936,60,0.2,0.9358530640602112,0.006761822,-0.005613371331128292,0.060807291666666666
171,6,264.2717391304348,24576,143,-32.035011291503906,0.657842218875885,5e-05,-1.0844848535954952,1.9142947451521952,75,0.2,0.9566704034805298,0.0055234884,-0.004085468615327651,0.045670572916666666
201,7,266.89,28672,142,-32.285892486572266,0.26860588788986206,5e-05,-1.0486192267388106,1.3244365274285277,90,0.2,0.9553210139274597,0.005464453,-0.0059554135616053825,0.047314453125
227,8,271.9,32768,143,-31.85590171813965,0.5685989856719971,5e-05,-1.0309643428772688,2.1659929659217596,105,0.2,0.9485710263252258,0.0058261477,-0.004576129527413287,0.04796549479166667
258,9,276.25,36864,142,-31.860248565673828,0.33887386322021484,5e-05,-1.004739057396849,1.566055909730494,120,0.2,0.961227536201477,0.005066811,-0.0049630234299305204,0.0421875
286,10,280.2,40960,143,-31.354198455810547,0.42848142981529236,5e-05,-0.9467677604407072,1.8249601269761722,135,0.2,0.944760799407959,0.00481104,-0.00293927640595939,0.030126953125
321,11,281.73,45056,140,-32.18073272705078,0.5770253539085388,5e-05,-0.953543783351779,1.9697659155353904,150,0.2,0.9344025254249573,0.0044126986,-0.003355628959495031,0.04674479166666667
357,12,282.02,49152,137,-32.19102096557617,0.7735208868980408,5e-05,-0.9638712414850791,2.7406816945100823,165,0.2,0.942575216293335,0.004930154,-0.005083584395470098,0.03577473958333333
387,13,284.01,53248,137,-32.523006439208984,0.6407334804534912,5e-05,-0.8999807727833589,2.358598846321305,180,0.2,0.9512151479721069,0.004465554,-0.0034813777949845343,0.0333984375
424,14,284.48,57344,135,-31.858478546142578,0.4528205096721649,5e-05,-0.9219085443764925,0.9990982602350413,195,0.2,0.9457195997238159,0.008316338,-0.0030840997448346266,0.091552734375
462,15,285.45,61440,132,-31.31945037841797,0.2933198809623718,5e-05,-0.9243206467479468,1.0190765018885335,210,0.2,0.9681345820426941,0.0040884996,-0.006678670775727369,0.06365559895833334
494,16,285.87,65536,132,-31.21487045288086,0.12803241610527039,5e-05,-0.885453251004219,0.6062130020620923,225,0.2,0.9697125554084778,0.006582761,-0.00488312015804695,0.070654296875
530,17,285.65,69632,131,-32.2546501159668,0.4027845859527588,5e-05,-0.8885400434335072,2.808492795440058,240,0.2,0.9430351853370667,0.0060670385,-0.00387631658668397,0.04991861979166667
566,18,284.78,73728,130,-30.313779830932617,0.4510346055030823,5e-05,-0.8829902558277051,1.5351443434755008,255,0.2,0.9395934343338013,0.0036243822,-0.003944774117796138,0.03818359375
601,19,284.56,77824,129,-30.098556518554688,15.160030364990234,5e-05,-0.9399897412707409,14.348635426660378,270,0.2,0.708297610282898,0.0039430903,-0.0032147589373077304,0.03162434895833333
637,20,282.93,81920,128,-30.6019344329834,0.1726914793252945,5e-05,-0.9374621737748384,0.9444628493549924,285,0.2,0.9658429026603699,0.005478456,-0.005054260593897198,0.07275390625
673,21,282.85,86016,127,-30.866849899291992,0.14210757613182068,5e-05,-0.9180020437886317,0.6240091795722643,300,0.2,0.9708845019340515,0.0062928824,-0.006567969372069152,0.076416015625
708,22,281.88,90112,127,-32.41587829589844,0.10181650519371033,5e-05,-0.9182108094294866,0.7272873979061842,315,0.2,0.9611971974372864,0.008324069,-0.005127504020977843,0.07099609375
745,23,280.56,94208,126,-31.569555282592773,0.40337175130844116,5e-05,-0.9267790282766024,1.1149861886786918,330,0.2,0.9535737037658691,0.0049816547,-0.004313700878507613,0.02578125
786,24,281.44,98304,124,-31.055438995361328,0.08826298266649246,5e-05,-0.9137632213532925,1.0873365770714978,345,0.2,0.9558870792388916,0.003518803,-0.005258372021004713,0.04384765625
820,25,282.05,102400,124,-31.316049575805664,0.15536661446094513,5e-05,-0.8993977123250564,0.9519794699115057,360,0.2,0.9605165123939514,0.003425106,-0.00506990082746294,0.048583984375
857,26,284.61,106496,124,-31.098608016967773,3.65128231048584,5e-05,-0.8560354215403397,14.587639203543464,375,0.2,0.7511197328567505,0.0027991254,-0.003097689490581009,0.018977864583333334
897,27,285.45,110592,123,-29.109451293945312,0.46267804503440857,5e-05,-0.901691293095549,9.840864669407408,390,0.2,0.8307632207870483,0.0048959777,-0.004319916987878969,0.04718424479166667
940,28,286.39,114688,121,-27.6453914642334,5.807392120361328,5e-05,-0.8687754477063815,14.38858802355826,405,0.2,0.48562121391296387,0.005253628,-0.004821463262002604,0.042724609375
976,29,287.45,118784,121,-24.7414493560791,1.2215392589569092,5e-05,-0.889358372737964,6.71225684247911,420,0.2,0.8553310632705688,0.0057985554,-0.007360169739937797,0.07013346354166666
1012,30,287.94,122880,121,-23.501941680908203,13.834346771240234,5e-05,-0.8702937422941128,28.30407809664806,435,0.2,0.4573858976364136,0.0052804854,-0.002914221336444219,0.03675130208333333
1054,31,288.0,126976,120,-23.546998977661133,1.3660638332366943,5e-05,-0.8485225909699996,6.0751286486784615,450,0.2,0.7203212976455688,0.005258575,-0.0021705765182559846,0.07039388020833333
1088,32,288.14,131072,120,-21.412137985229492,0.4205811619758606,5e-05,-0.8388889259348313,2.082691443214814,465,0.2,0.8962550163269043,0.006217305,-0.0038808244794684772,0.08273111979166667
1128,33,288.27,135168,119,-19.472270965576172,22.816282272338867,5e-05,-0.781065188969175,21.074917913476625,480,0.2,0.4367455840110779,0.0044742688,-0.004359951840645711,0.03665364583333333
1165,34,287.18,139264,119,-16.15618133544922,2.0595853328704834,5e-05,-0.8079995304346085,18.140014863510928,495,0.2,0.5263657569885254,0.0035646888,-0.0012759183939124342,0.022395833333333334
1201,35,286.04,143360,119,-11.335040092468262,15.965256690979004,5e-05,-0.8099062117437522,46.715523402889566,510,0.2,0.12391656637191772,0.0035654933,-0.003871263572849178,0.030387369791666667
1238,36,284.74,147456,119,-7.823740005493164,4.45919132232666,5e-05,-0.7944997798651456,35.56841144363086,525,0.2,0.4907107353210449,0.0042242855,-0.0028126097679584444,0.02998046875
